Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
07/06/2021 10:46,07/06/2021 10:58,XAUUSD,Sell,0.01,1807.56,1806.69,8.7,0.87,0,0
07/06/2021 10:54,07/06/2021 10:57,XAUUSD,Sell,0.01,1808.92,1807.55,13.7,1.37,0,0
07/06/2021 09:15,07/06/2021 10:12,XAUUSD,Sell,0.01,1805.61,1805.18,4.3,0.43,0,0
07/06/2021 09:30,07/06/2021 09:49,XAUUSD,Sell,0.01,1805.92,1805.16,7.6,0.76,0,0
07/06/2021 05:51,07/06/2021 06:00,XAUUSD,Sell,0.01,1797.85,1797.25,6.0,0.6,0,0
07/06/2021 05:34,07/06/2021 05:37,XAUUSD,Sell,0.01,1797.85,1797.17,6.8,0.68,0,0
07/06/2021 05:08,07/06/2021 05:32,XAUUSD,Sell,0.01,1796.52,1797.2,-6.8,-0.68,0,0
07/06/2021 05:12,07/06/2021 05:31,XAUUSD,Sell,0.01,1798.55,1797.55,10.0,1.0,0,0
07/06/2021 05:25,07/06/2021 05:29,XAUUSD,Sell,0.01,1798.89,1797.99,9.0,0.9,0,0
07/06/2021 05:27,07/06/2021 05:29,XAUUSD,Sell,0.01,1799.7,1798.36,13.4,1.34,0,0
07/06/2021 04:03,07/06/2021 04:06,XAUUSD,Sell,0.01,1792.34,1791.77,5.7,0.57,0,0
07/05/2021 16:18,07/05/2021 18:19,GBPUSD,Buy,0.01,1.38459,1.38497,3.8,0.38,0,0
07/05/2021 15:17,07/05/2021 17:53,EURUSD,Buy,0.01,1.18618,1.18632,1.4,0.14,0,0
07/05/2021 11:58,07/05/2021 13:45,GBPUSD,Buy,0.01,1.38529,1.3859,6.1,0.61,0,0
07/01/2021 18:56,07/02/2021 05:59,GBPUSD,Buy,0.01,1.3781299999999999,1.37687,-12.6,-1.26,0,0
07/01/2021 19:06,07/02/2021 03:54,GBPUSD,Buy,0.01,1.3773600000000001,1.37697,-3.9,-0.39,0,0
07/01/2021 19:20,07/02/2021 03:53,GBPUSD,Buy,0.01,1.3769999999999998,1.37676,-2.4,-0.24,0,0
07/01/2021 19:43,07/02/2021 03:43,GBPUSD,Buy,0.01,1.3766100000000001,1.37669,0.8,0.08,0,0
07/01/2021 19:46,07/02/2021 03:36,GBPUSD,Buy,0.01,1.37659,1.3766100000000001,0.2,0.02,0,0
07/01/2021 20:50,07/02/2021 03:31,GBPUSD,Buy,0.01,1.37622,1.37639,1.7,0.17,0,0
07/02/2021 02:33,07/02/2021 03:01,EURUSD,Buy,0.01,1.18432,1.18475,4.3,0.43,0,0
07/01/2021 20:53,07/01/2021 23:55,EURUSD,Buy,0.01,1.18484,1.1850100000000001,1.7,0.17,0,0
07/01/2021 21:16,07/01/2021 23:52,GBPUSD,Buy,0.01,1.37573,1.3764399999999999,7.1,0.71,0,0
07/01/2021 21:43,07/01/2021 23:52,GBPUSD,Buy,0.01,1.37561,1.37629,6.8,0.68,0,0
07/01/2021 22:07,07/01/2021 23:46,GBPUSD,Buy,0.01,1.37531,1.3760299999999999,7.2,0.72,0,0
07/01/2021 22:36,07/01/2021 23:46,GBPUSD,Buy,0.01,1.37543,1.3760299999999999,6.0,0.6,0,0
07/01/2021 21:32,07/01/2021 23:42,EURUSD,Buy,0.01,1.18452,1.18488,3.6,0.36,0,0
07/01/2021 21:16,07/01/2021 23:42,EURUSD,Buy,0.01,1.18444,1.18488,4.4,0.44,0,0
07/01/2021 21:59,07/01/2021 23:41,EURUSD,Buy,0.01,1.18425,1.18488,6.3,0.63,0,0
07/01/2021 19:28,07/01/2021 19:37,GBPUSD,Buy,0.01,1.3766100000000001,1.37722,6.1,0.61,0,0
07/01/2021 18:43,07/01/2021 18:47,EURUSD,Buy,0.01,1.18489,1.18547,5.8,0.58,0,0
07/01/2021 18:22,07/01/2021 18:34,EURUSD,Buy,0.01,1.18524,1.18543,1.9,0.19,0,0
07/01/2021 18:05,07/01/2021 18:11,XAUUSD,Sell,0.01,1775.06,1774.14,9.2,0.92,0,0
07/01/2021 17:46,07/01/2021 17:49,XAUUSD,Sell,0.01,1774.47,1774.34,1.3,0.13,0,0
06/29/2021 21:27,06/29/2021 21:42,XAUUSD,Sell,0.01,1764.51,1764.25,2.6,0.26,0,0
06/29/2021 19:22,06/29/2021 19:41,XAUUSD,Sell,0.01,1764.17,1763.69,4.8,0.48,0,0
06/29/2021 18:44,06/29/2021 18:56,XAUUSD,Sell,0.01,1762.84,1762.22,6.2,0.62,0,0
06/29/2021 18:05,06/29/2021 18:08,XAUUSD,Buy,0.01,1755.58,1756.07,4.9,0.49,0,0
06/29/2021 17:43,06/29/2021 17:44,XAUUSD,Buy,0.01,1753.23,1753.58,3.5,0.35,0,0
06/29/2021 17:05,06/29/2021 17:07,XAUUSD,Buy,0.02,1753.3,1754.26,9.6,1.92,0,0
06/28/2021 21:01,06/29/2021 03:01,GBPUSD,Buy,0.01,1.38806,1.38796,-1.0,-0.1,0,0
06/28/2021 23:02,06/28/2021 23:36,GBPUSD,Buy,0.01,1.38714,1.38765,5.1,0.51,0,0
06/28/2021 15:32,06/28/2021 15:36,XAUUSD,Buy,0.01,1775.09,1775.9,8.1,0.81,0,0
06/28/2021 12:17,06/28/2021 13:20,XAUUSD,Buy,0.01,1776.93,1777.71,7.8,0.78,0,0
06/28/2021 12:33,06/28/2021 12:38,XAUUSD,Buy,0.01,1775.09,1776.25,11.6,1.16,0,0
06/28/2021 10:31,06/28/2021 11:01,XAUUSD,Sell,0.01,1783.86,1782.96,9.0,0.9,0,0
06/25/2021 20:06,06/28/2021 06:47,GBPUSD,Buy,0.01,1.38992,1.3887399999999999,-11.8,-1.18,0,0
06/25/2021 18:46,06/25/2021 22:59,EURUSD,Buy,0.01,1.19403,1.1940899999999999,0.6,0.06,0,0
06/25/2021 21:12,06/25/2021 22:57,GBPUSD,Buy,0.01,1.38819,1.38868,4.9,0.49,0,0
06/25/2021 20:37,06/25/2021 22:13,EURUSD,Buy,0.01,1.1930399999999999,1.19347,4.3,0.43,0,0
06/25/2021 21:23,06/25/2021 22:05,EURUSD,Buy,0.01,1.19294,1.1932200000000002,2.8,0.28,0,0
06/25/2021 21:30,06/25/2021 21:39,GBPUSD,Buy,0.01,1.3872200000000001,1.38771,4.9,0.49,0,0
06/25/2021 19:49,06/25/2021 19:52,GBPUSD,Buy,0.01,1.38992,1.39044,5.2,0.52,0,0
06/25/2021 17:35,06/25/2021 17:38,XAUUSD,Sell,0.01,1787.78,1787.0,7.8,0.78,0,0
06/25/2021 16:59,06/25/2021 17:01,EURUSD,Sell,0.01,1.1974,1.19697,4.3,0.43,0,0
06/25/2021 11:24,06/25/2021 11:35,XAUUSD,Sell,0.01,1783.32,1782.51,8.1,0.81,0,0
06/25/2021 05:07,06/25/2021 05:10,XAUUSD,Buy,0.01,1778.01,1779.27,12.6,1.26,0,0
06/24/2021 02:27,06/24/2021 02:51,XAUUSD,Buy,0.01,1776.3,1777.01,7.1,0.71,0,0
06/24/2021 02:34,06/24/2021 02:37,XAUUSD,Buy,0.01,1774.44,1775.62,11.8,1.18,0,0
06/24/2021 01:46,06/24/2021 02:04,XAUUSD,Sell,0.01,1778.76,1778.15,6.1,0.61,0,0
06/23/2021 21:02,06/23/2021 23:47,XAUUSD,Buy,0.01,1782.28,1778.2,-40.8,-4.08,0,0
06/23/2021 21:47,06/23/2021 23:44,XAUUSD,Buy,0.01,1780.05,1778.12,-19.3,-1.93,0,0
06/23/2021 22:05,06/23/2021 23:39,XAUUSD,Buy,0.01,1778.19,1777.73,-4.6,-0.46,0,0
06/23/2021 22:27,06/23/2021 23:26,XAUUSD,Buy,0.01,1776.22,1776.81,5.9,0.59,0,0
06/23/2021 22:50,06/23/2021 23:19,XAUUSD,Buy,0.01,1775.02,1776.73,17.1,1.71,0,0
06/23/2021 22:36,06/23/2021 22:43,XAUUSD,Buy,0.01,1774.81,1775.54,7.3,0.73,0,0
06/23/2021 18:31,06/23/2021 18:42,GBPUSD,Buy,0.01,1.3961700000000001,1.3968399999999999,6.7,0.67,0,0
06/23/2021 17:55,06/23/2021 17:56,GBPUSD,Buy,0.01,1.3965,1.3972,7.0,0.7,0,0
06/23/2021 17:44,06/23/2021 17:46,XAUUSD,Sell,0.01,1792.91,1791.56,13.5,1.35,0,0
06/23/2021 16:48,06/23/2021 17:02,XAUUSD,Sell,0.01,1792.35,1792.31,0.4,0.04,0,0
06/23/2021 16:53,06/23/2021 17:02,XAUUSD,Sell,0.01,1793.98,1792.85,11.3,1.13,0,0
06/22/2021 19:22,06/22/2021 23:06,GBPUSD,Sell,0.01,1.39311,1.39485,-17.4,-1.74,0,0
06/22/2021 22:27,06/22/2021 22:39,GBPUSD,Sell,0.01,1.39626,1.39563,6.3,0.63,0,0
06/22/2021 22:10,06/22/2021 22:23,EURUSD,Sell,0.01,1.1952,1.19465,5.5,0.55,0,0
06/22/2021 22:06,06/22/2021 22:17,GBPUSD,Sell,0.01,1.3959,1.3955799999999998,3.2,0.32,0,0
06/22/2021 21:01,06/22/2021 21:50,GBPUSD,Buy,0.01,1.39378,1.39442,6.4,0.64,0,0
06/22/2021 18:40,06/22/2021 18:47,XAUUSD,Buy,0.01,1774.99,1776.02,10.3,1.03,0,0
06/22/2021 18:10,06/22/2021 18:19,GBPUSD,Sell,0.01,1.39256,1.39236,2.0,0.2,0,0
06/21/2021 18:57,06/22/2021 03:02,GBPUSD,Sell,0.01,1.3916600000000001,1.39222,-5.6,-0.56,0,0
06/21/2021 19:32,06/22/2021 03:01,GBPUSD,Sell,0.01,1.39248,1.39216,3.2,0.32,0,0
06/21/2021 20:15,06/22/2021 02:55,GBPUSD,Sell,0.01,1.3927,1.3924299999999998,2.7,0.27,0,0
06/21/2021 20:16,06/22/2021 02:55,GBPUSD,Sell,0.01,1.3929,1.3924299999999998,4.7,0.47,0,0
06/21/2021 20:21,06/22/2021 02:55,GBPUSD,Sell,0.01,1.39295,1.3924299999999998,5.2,0.52,0,0
06/21/2021 19:53,06/21/2021 20:05,GBPUSD,Sell,0.01,1.3929799999999999,1.3924,5.8,0.58,0,0
06/21/2021 18:17,06/21/2021 18:33,GBPUSD,Sell,0.01,1.3916,1.3913,3.0,0.3,0,0
06/21/2021 17:45,06/21/2021 17:59,EURUSD,Sell,0.01,1.19192,1.19103,8.9,0.89,0,0
06/21/2021 17:07,06/21/2021 17:58,GBPUSD,Sell,0.01,1.39105,1.39036,6.9,0.69,0,0
06/21/2021 17:05,06/21/2021 17:20,EURUSD,Sell,0.01,1.19177,1.19135,4.2,0.42,0,0
06/21/2021 11:09,06/21/2021 13:05,XAUUSD,Sell,0.01,1780.26,1782.79,-25.3,-2.53,0,0
06/21/2021 12:49,06/21/2021 13:01,XAUUSD,Sell,0.01,1784.57,1783.45,11.2,1.12,0,0
06/21/2021 12:50,06/21/2021 12:50,XAUUSD,Sell,0.05,1785.06,1784.79,2.7,1.35,0,0
06/21/2021 11:53,06/21/2021 12:02,XAUUSD,Sell,0.01,1785.23,1784.38,8.5,0.85,0,0
06/21/2021 11:14,06/21/2021 11:15,XAUUSD,Sell,0.01,1783.91,1783.13,7.8,0.78,0,0
06/21/2021 10:15,06/21/2021 10:38,EURUSD,Buy,0.01,1.18608,1.18737,12.9,1.29,0,0
06/21/2021 05:05,06/21/2021 09:04,EURUSD,Buy,0.01,1.1864100000000002,1.1869,4.9,0.49,0,0
06/18/2021 21:37,06/21/2021 01:03,XAUUSD,Buy,0.01,1771.05,1767.91,-31.4,-3.14,0,0
06/18/2021 22:55,06/21/2021 01:02,XAUUSD,Buy,0.01,1769.07,1767.96,-11.1,-1.11,0,0
06/18/2021 23:02,06/18/2021 23:53,XAUUSD,Buy,0.01,1764.4,1764.53,1.3,0.13,0,0
06/18/2021 23:05,06/18/2021 23:52,XAUUSD,Buy,0.01,1764.16,1764.03,-1.3,-0.13,0,0
06/18/2021 23:06,06/18/2021 23:42,XAUUSD,Buy,0.01,1762.53,1763.7,11.7,1.17,0,0
06/18/2021 17:45,06/18/2021 19:10,GBPUSD,Buy,0.01,1.3820800000000002,1.38217,0.9,0.09,0,0
06/18/2021 17:49,06/18/2021 18:57,GBPUSD,Buy,0.01,1.38162,1.3817000000000002,0.8,0.08,0,0
06/18/2021 17:55,06/18/2021 18:39,GBPUSD,Buy,0.01,1.3811300000000002,1.3818100000000002,6.8,0.68,0,0
06/18/2021 17:57,06/18/2021 18:39,GBPUSD,Buy,0.01,1.3806,1.3818400000000002,12.4,1.24,0,0
06/18/2021 17:59,06/18/2021 18:38,GBPUSD,Buy,0.01,1.3806399999999999,1.38182,11.8,1.18,0,0
06/18/2021 18:05,06/18/2021 18:37,GBPUSD,Buy,0.01,1.3804299999999998,1.3815000000000002,10.7,1.07,0,0
06/18/2021 18:08,06/18/2021 18:37,GBPUSD,Buy,0.01,1.3802299999999998,1.38162,13.9,1.39,0,0
06/18/2021 18:25,06/18/2021 18:36,GBPUSD,Buy,0.01,1.3802500000000002,1.38129,10.4,1.04,0,0
06/18/2021 18:27,06/18/2021 18:34,GBPUSD,Buy,0.01,1.38008,1.38123,11.5,1.15,0,0
06/18/2021 18:12,06/18/2021 18:19,EURUSD,Buy,0.01,1.18528,1.1859300000000002,6.5,0.65,0,0
06/18/2021 18:10,06/18/2021 18:15,GBPUSD,Buy,0.01,1.3796000000000002,1.38034,7.4,0.74,0,0
06/18/2021 18:11,06/18/2021 18:14,GBPUSD,Buy,0.01,1.3796899999999999,1.3803200000000002,6.3,0.63,0,0
06/18/2021 17:26,06/18/2021 17:34,GBPUSD,Buy,0.01,1.3821100000000002,1.38277,6.6,0.66,0,0
06/18/2021 17:17,06/18/2021 17:32,XAUUSD,Buy,0.01,1773.28,1775.38,21.0,2.1,0,0
06/18/2021 16:45,06/18/2021 16:55,XAUUSD,Buy,0.01,1774.42,1774.91,4.9,0.49,0,0
06/18/2021 04:25,06/18/2021 05:12,XAUUSD,Sell,0.01,1781.18,1782.1,-9.2,-0.92,0,0
06/18/2021 04:39,06/18/2021 04:42,XAUUSD,Sell,0.01,1785.75,1784.67,10.8,1.08,0,0
06/17/2021 23:08,06/17/2021 23:13,XAUUSD,Buy,0.01,1773.29,1773.7,4.1,0.41,0,0
06/17/2021 16:48,06/17/2021 20:48,XAUUSD,Buy,0.01,1784.11,1777.7,-64.1,-6.41,0,0
06/17/2021 18:02,06/17/2021 20:34,XAUUSD,Buy,0.01,1777.61,1776.79,-8.2,-0.82,0,0
06/17/2021 18:22,06/17/2021 20:32,EURUSD,Buy,0.01,1.19171,1.1911,-6.1,-0.61,0,0
06/17/2021 19:05,06/17/2021 20:26,XAUUSD,Buy,0.01,1774.1,1775.26,11.6,1.16,0,0
06/17/2021 18:42,06/17/2021 20:10,EURUSD,Buy,0.01,1.1912200000000002,1.1912399999999999,0.2,0.02,0,0
06/17/2021 19:07,06/17/2021 20:08,EURUSD,Buy,0.01,1.19079,1.1911200000000002,3.3,0.33,0,0
06/17/2021 19:19,06/17/2021 20:06,EURUSD,Buy,0.02,1.19023,1.1907,4.7,0.94,0,0
06/17/2021 19:18,06/17/2021 20:01,XAUUSD,Buy,0.01,1772.46,1772.7,2.4,0.24,0,0
06/17/2021 19:25,06/17/2021 19:48,EURUSD,Buy,0.02,1.18962,1.19005,4.3,0.86,0,0
06/17/2021 19:33,06/17/2021 19:46,XAUUSD,Buy,0.01,1770.08,1772.12,20.4,2.04,0,0
06/17/2021 19:26,06/17/2021 19:29,XAUUSD,Buy,0.01,1770.71,1772.03,13.2,1.32,0,0
06/17/2021 18:18,06/17/2021 18:51,XAUUSD,Buy,0.01,1772.85,1775.19,23.4,2.34,0,0
06/17/2021 18:24,06/17/2021 18:47,XAUUSD,Buy,0.01,1771.21,1773.63,24.2,2.42,0,0
06/17/2021 18:31,06/17/2021 18:33,XAUUSD,Buy,0.01,1768.38,1770.91,25.3,2.53,0,0
06/17/2021 17:49,06/17/2021 17:51,XAUUSD,Buy,0.01,1777.98,1780.03,20.5,2.05,0,0
06/17/2021 17:40,06/17/2021 17:45,XAUUSD,Buy,0.01,1779.3,1780.35,10.5,1.05,0,0
06/17/2021 17:02,06/17/2021 17:21,XAUUSD,Buy,0.01,1780.52,1782.8,22.8,2.28,0,0
06/17/2021 17:06,06/17/2021 17:11,XAUUSD,Buy,0.01,1777.06,1778.35,12.9,1.29,0,0
06/17/2021 14:43,06/17/2021 16:36,XAUUSD,Buy,0.01,1793.1,1788.11,-49.9,-4.99,0,0
06/17/2021 16:02,06/17/2021 16:18,XAUUSD,Buy,0.01,1781.53,1784.67,31.4,3.14,0,0
06/17/2021 15:18,06/17/2021 15:48,XAUUSD,Buy,0.01,1787.3,1784.51,-27.9,-2.79,0,0
06/17/2021 15:40,06/17/2021 15:47,XAUUSD,Buy,0.01,1781.63,1783.98,23.5,2.35,0,0
06/17/2021 15:20,06/17/2021 15:34,XAUUSD,Buy,0.01,1781.18,1783.08,19.0,1.9,0,0
06/17/2021 15:24,06/17/2021 15:27,XAUUSD,Buy,0.01,1776.18,1778.38,22.0,2.2,0,0
06/17/2021 15:09,06/17/2021 15:13,XAUUSD,Buy,0.01,1788.17,1789.34,11.7,1.17,0,0
06/17/2021 14:49,06/17/2021 15:02,XAUUSD,Buy,0.01,1788.71,1789.11,4.0,0.4,0,0
06/17/2021 14:03,06/17/2021 14:49,EURUSD,Buy,0.01,1.19325,1.1937000000000002,4.5,0.45,0,0
06/17/2021 14:48,06/17/2021 14:48,XAUUSD,Buy,0.05,1787.94,1788.83,8.9,4.45,0,0
06/17/2021 05:49,06/17/2021 06:02,XAUUSD,Sell,0.01,1824.45,1823.88,5.7,0.57,0,0
06/16/2021 21:30,06/17/2021 05:36,GBPUSD,Buy,0.01,1.4022500000000002,1.3996000000000002,-26.5,-2.65,0,0
06/16/2021 22:26,06/17/2021 05:36,EURUSD,Buy,0.01,1.2020300000000002,1.20006,-19.7,-1.97,0,0
06/16/2021 22:44,06/17/2021 05:36,EURUSD,Buy,0.01,1.20109,1.20005,-10.4,-1.04,0,0
06/16/2021 22:56,06/17/2021 05:33,EURUSD,Buy,0.01,1.2006100000000002,1.20018,-4.3,-0.43,0,0
06/16/2021 21:35,06/17/2021 05:31,GBPUSD,Buy,0.01,1.4018100000000002,1.39985,-19.6,-1.96,0,0
06/16/2021 22:34,06/17/2021 05:31,GBPUSD,Buy,0.01,1.4007200000000002,1.3998000000000002,-9.2,-0.92,0,0
06/16/2021 23:10,06/17/2021 05:29,EURUSD,Buy,0.01,1.20057,1.2002400000000002,-3.3,-0.33,0,0
06/16/2021 23:10,06/17/2021 05:23,EURUSD,Buy,0.01,1.20028,1.20036,0.8,0.08,0,0
06/16/2021 22:46,06/17/2021 05:16,GBPUSD,Buy,0.01,1.4003500000000002,1.3995799999999998,-7.7,-0.77,0,0
